Title,Published Date,Views,Likes,Comments,Engagement Rate
Justin did him dirty 🥲,2025-05-26,2900323,84852,86,0.029285703695760782
Dogs we thought were EXTINCT 😱,2024-11-01,2324575,142075,282,0.0612400116150264
Sorry if you are having dinner right now...,2024-09-05,389781,13044,52,0.03359835394747307
Zakir Khan Roasts Tanmay Bhat 🔥,2025-08-15,297664,13405,38,0.045161658783057404
Justin Bieber’s Roast 🔥,2025-04-26,582804,21261,34,0.036538870700956065
"Your Diwali Kit, Powered by Noice ✨🪔",2025-10-12,2707306,97660,915,0.03641073450876997
Level sabke nikalenge 📈📉,2024-05-30,468400,19827,52,0.042440222032450896
Best of Pakistani Roadies 😂,2024-12-02,853291,43094,97,0.05061696420095841
Stephen Hawking on Epstein Island 🤖,2024-06-21,442152,15625,89,0.03553981436248168
Samay Raina roasting Triggered Insaan 🔥,2024-12-28,2442338,159042,130,0.06517197865324129
Bro did Messi DIRTY 😭,2025-07-09,337039,15197,100,0.04538643895810277
"We watched it twice but, you don't have to 🙃",2024-07-07,1734852,66735,156,0.038557179517330585
Dora is REAL! 🤣,2025-01-06,382467,16586,35,0.0434573440322956
Bro needs to hesitate 💀,2024-10-28,3553185,150086,163,0.04228572393500479
This will ruin your 53 seconds 🫶,2025-05-23,1275359,29562,76,0.02323894683771393
Sunil Pal on Ranveer Allahbadia 🔥,2025-03-02,461646,21399,177,0.04673711025331098
This guy was never single ❤️‍🩹,2025-06-08,314798,7821,17,0.024898506343750595
A world beyond Cocomelon 🍉,2025-10-21,488882,14908,53,0.030602476671262185
“Ye kya tha bc” Moments #1,2025-06-18,368324,12332,51,0.03361985643075119
HONEST WORK FROM HOME!,2021-01-26,1233001,114276,2232,0.09449140754954781
India’s smartest student 😂,2024-09-26,1306871,52407,212,0.04026334657360979
Indian Kids are Savage 🔥,2025-11-28,241749,6283,20,0.026072496680441284
Uncleji goti goti pranaam 🙏🙏🙏,2025-11-25,98159,2585,14,0.026477449851771105
This will ruin your 46 seconds 🫶,2025-06-24,289394,10036,35,0.03480030684810328
